
2022-05-09  23.06.41    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

28962 loaded. (54 days)
0.003000 / 0.003000 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 172 / 59 / 113 / 0.5221 	 h = -0.0101 / 0.1704 	 p = 0.04 	 avg = 0.00 	 % = 1.1211 / +12.1081
0.003500 / 0.003500 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 175 / 62 / 113 / 0.5487 	 h = -0.0101 / 0.1709 	 p = 0.05 	 avg = 0.00 	 % = 1.1342 / +13.4167
0.004000 / 0.004000 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 177 / 64 / 113 / 0.5664 	 h = -0.0101 / 0.1711 	 p = 0.08 	 avg = 0.00 	 % = 1.1763 / +17.6336
0.004500 / 0.004500 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 178 / 63 / 115 / 0.5478 	 h = -0.0101 / 0.1713 	 p = 0.04 	 avg = 0.00 	 % = 1.1345 / +13.4549
0.005500 / 0.005500 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 182 / 63 / 119 / 0.5294 	 h = -0.0101 / 0.1719 	 p = 0.02 	 avg = 0.00 	 % = 1.1159 / +11.5937
0.006000 / 0.006000 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 182 / 63 / 119 / 0.5294 	 h = -0.0101 / 0.1719 	 p = 0.03 	 avg = 0.00 	 % = 1.1254 / +12.5351
0.006500 / 0.006500 / 0.010000 	 limit = 0.0000 / 0.0100 	 count = 182 / 63 / 119 / 0.5294 	 h = -0.0101 / 0.1719 	 p = 0.04 	 avg = 0.00 	 % = 1.1359 / +13.5878
0.001500 / 0.001500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 147 / 50 / 97 / 0.5155 	 h = -0.0111 / 0.1661 	 p = 0.00 	 avg = 0.00 	 % = 1.0676 / +6.1470
0.003500 / 0.003500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 175 / 63 / 112 / 0.5625 	 h = -0.0111 / 0.1709 	 p = 0.01 	 avg = 0.00 	 % = 1.0758 / +6.8947
0.004000 / 0.004000 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 176 / 65 / 111 / 0.5856 	 h = -0.0111 / 0.1711 	 p = 0.05 	 avg = 0.00 	 % = 1.1370 / +12.4501
0.004500 / 0.004500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 178 / 65 / 113 / 0.5752 	 h = -0.0111 / 0.1713 	 p = 0.02 	 avg = 0.00 	 % = 1.1045 / +9.5024
0.006000 / 0.006000 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 182 / 65 / 117 / 0.5556 	 h = -0.0111 / 0.1719 	 p = 0.00 	 avg = 0.00 	 % = 1.0846 / +7.6906
0.006500 / 0.006500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 182 / 65 / 117 / 0.5556 	 h = -0.0111 / 0.1719 	 p = 0.01 	 avg = 0.00 	 % = 1.0954 / +8.6757
0.008500 / 0.008500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 185 / 65 / 120 / 0.5417 	 h = -0.0111 / 0.1719 	 p = 0.00 	 avg = 0.00 	 % = 1.0779 / +7.0851
0.009000 / 0.009000 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 185 / 65 / 120 / 0.5417 	 h = -0.0111 / 0.1719 	 p = 0.01 	 avg = 0.00 	 % = 1.0878 / +7.9848
0.009500 / 0.009500 / 0.010000 	 limit = 0.0000 / 0.0110 	 count = 185 / 65 / 120 / 0.5417 	 h = -0.0111 / 0.1719 	 p = 0.02 	 avg = 0.00 	 % = 1.1024 / +9.3047
0.004000 / 0.004000 / 0.010000 	 limit = 0.0000 / 0.0120 	 count = 176 / 66 / 110 / 0.6000 	 h = -0.0121 / 0.1711 	 p = 0.02 	 avg = 0.00 	 % = 1.0908 / +7.5639
0.004500 / 0.004500 / 0.010000 	 limit = 0.0000 / 0.0120 	 count = 178 / 67 / 111 / 0.6036 	 h = -0.0121 / 0.1713 	 p = 0.00 	 avg = 0.00 	 % = 1.0731 / +6.0941
0.007000 / 0.007000 / 0.010000 	 limit = 0.0000 / 0.0120 	 count = 182 / 67 / 115 / 0.5826 	 h = -0.0121 / 0.1719 	 p = 0.00 	 avg = 0.00 	 % = 1.0923 / +7.6881
0.009000 / 0.009000 / 0.010000 	 limit = 0.0000 / 0.0120 	 count = 185 / 67 / 118 / 0.5678 	 h = -0.0121 / 0.1719 	 p = 0.00 	 avg = 0.00 	 % = 1.0841 / +7.0111
0.009500 / 0.009500 / 0.010000 	 limit = 0.0000 / 0.0120 	 count = 185 / 67 / 118 / 0.5678 	 h = -0.0121 / 0.1719 	 p = 0.01 	 avg = 0.00 	 % = 1.0956 / +7.9702
0.009500 / 0.009500 / 0.010000 	 limit = 0.0000 / 0.0130 	 count = 185 / 68 / 117 / 0.5812 	 h = -0.0132 / 0.1719 	 p = 0.02 	 avg = 0.00 	 % = 1.0938 / +7.2118
0.003500 / 0.003500 / 0.010000 	 limit = 0.0000 / 0.0140 	 count = 174 / 65 / 109 / 0.5963 	 h = -0.0142 / 0.1709 	 p = 0.00 	 avg = 0.00 	 % = 1.0506 / +3.6157
0.004000 / 0.004000 / 0.010000 	 limit = 0.0000 / 0.0140 	 count = 176 / 69 / 107 / 0.6449 	 h = -0.0142 / 0.1711 	 p = 0.02 	 avg = 0.00 	 % = 1.0843 / +6.0218
