
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
sma = 54 / 18 	 stop = 0.0250 	 count = 30 / 19 / 11 / 1.73 	 % = 1.0047
sma = 54 / 18 	 stop = 0.0300 	 count = 30 / 19 / 11 / 1.73 	 % = 1.0052
sma = 54 / 18 	 stop = 0.0500 	 count = 30 / 19 / 11 / 1.73 	 % = 1.0318
sma = 54 / 27 	 stop = 0.0200 	 count = 30 / 16 / 14 / 1.14 	 % = 1.0188
sma = 54 / 27 	 stop = 0.0250 	 count = 30 / 16 / 14 / 1.14 	 % = 1.0040
sma = 54 / 27 	 stop = 0.0300 	 count = 30 / 17 / 13 / 1.31 	 % = 1.0207
sma = 54 / 27 	 stop = 0.0350 	 count = 30 / 17 / 13 / 1.31 	 % = 1.0381
sma = 54 / 27 	 stop = 0.0400 	 count = 30 / 17 / 13 / 1.31 	 % = 1.0331
sma = 54 / 27 	 stop = 0.0450 	 count = 30 / 17 / 13 / 1.31 	 % = 1.0282
sma = 54 / 27 	 stop = 0.0500 	 count = 30 / 17 / 13 / 1.31 	 % = 1.0616
sma = 60 / 24 	 stop = 0.0400 	 count = 24 / 10 / 14 / 0.71 	 % = 1.0024
sma = 60 / 24 	 stop = 0.0500 	 count = 24 / 10 / 14 / 0.71 	 % = 1.0360
sma = 60 / 27 	 stop = 0.0500 	 count = 22 / 10 / 12 / 0.83 	 % = 1.0260
sma = 66 / 24 	 stop = 0.0150 	 count = 24 / 12 / 12 / 1.00 	 % = 1.0165
sma = 66 / 27 	 stop = 0.0100 	 count = 23 / 10 / 13 / 0.77 	 % = 1.0008
sma = 66 / 27 	 stop = 0.0150 	 count = 22 / 12 / 10 / 1.20 	 % = 1.0277
sma = 66 / 27 	 stop = 0.0200 	 count = 22 / 13 / 9 / 1.44 	 % = 1.0429
sma = 66 / 27 	 stop = 0.0250 	 count = 22 / 13 / 9 / 1.44 	 % = 1.0329
sma = 66 / 27 	 stop = 0.0300 	 count = 22 / 13 / 9 / 1.44 	 % = 1.0227
sma = 66 / 27 	 stop = 0.0350 	 count = 22 / 13 / 9 / 1.44 	 % = 1.0128
sma = 66 / 27 	 stop = 0.0400 	 count = 22 / 13 / 9 / 1.44 	 % = 1.0031
sma = 66 / 30 	 stop = 0.0100 	 count = 20 / 12 / 8 / 1.50 	 % = 1.0280
sma = 66 / 30 	 stop = 0.0150 	 count = 20 / 14 / 6 / 2.33 	 % = 1.0412
sma = 66 / 30 	 stop = 0.0200 	 count = 20 / 14 / 6 / 2.33 	 % = 1.0208
sma = 66 / 30 	 stop = 0.0250 	 count = 20 / 14 / 6 / 2.33 	 % = 1.0079
sma = 66 / 30 	 stop = 0.0300 	 count = 20 / 14 / 6 / 2.33 	 % = 1.0195
sma = 66 / 30 	 stop = 0.0350 	 count = 20 / 14 / 6 / 2.33 	 % = 1.0096
sma = 66 / 33 	 stop = 0.0150 	 count = 20 / 11 / 9 / 1.22 	 % = 1.0134
sma = 66 / 33 	 stop = 0.0250 	 count = 20 / 11 / 9 / 1.22 	 % = 1.0058
sma = 72 / 21 	 stop = 0.0150 	 count = 25 / 14 / 11 / 1.27 	 % = 1.0122
sma = 72 / 21 	 stop = 0.0200 	 count = 24 / 14 / 10 / 1.40 	 % = 1.0103
sma = 72 / 27 	 stop = 0.0100 	 count = 24 / 11 / 13 / 0.85 	 % = 1.0149
sma = 72 / 27 	 stop = 0.0150 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0632
sma = 72 / 27 	 stop = 0.0200 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0524
sma = 72 / 27 	 stop = 0.0250 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0422
sma = 72 / 27 	 stop = 0.0300 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0321
sma = 72 / 27 	 stop = 0.0350 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0221
sma = 72 / 27 	 stop = 0.0400 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0480
sma = 72 / 27 	 stop = 0.0450 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0431
sma = 72 / 27 	 stop = 0.0500 	 count = 23 / 14 / 9 / 1.56 	 % = 1.0380
sma = 96 / 42 	 stop = 0.0150 	 count = 16 / 7 / 9 / 0.78 	 % = 1.0045
sma = 96 / 42 	 stop = 0.0200 	 count = 16 / 8 / 8 / 1.00 	 % = 1.0036
sma = 96 / 42 	 stop = 0.0250 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0069
sma = 96 / 42 	 stop = 0.0350 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0250
sma = 96 / 42 	 stop = 0.0400 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0200
sma = 96 / 42 	 stop = 0.0450 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0151
sma = 96 / 42 	 stop = 0.0500 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0103
sma = 96 / 45 	 stop = 0.0200 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0705
sma = 96 / 45 	 stop = 0.0250 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0745
sma = 96 / 45 	 stop = 0.0300 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0587
sma = 96 / 45 	 stop = 0.0350 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0619
sma = 96 / 45 	 stop = 0.0400 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0552
sma = 96 / 45 	 stop = 0.0450 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0501
sma = 96 / 45 	 stop = 0.0500 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0451
sma = 96 / 48 	 stop = 0.0250 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0022
sma = 96 / 48 	 stop = 0.0350 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0052
sma = 96 / 48 	 stop = 0.0400 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0003
sma = 102 / 12 	 stop = 0.0100 	 count = 25 / 11 / 14 / 0.79 	 % = 1.0013
sma = 102 / 39 	 stop = 0.0200 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0385
sma = 102 / 39 	 stop = 0.0250 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0184
sma = 102 / 39 	 stop = 0.0350 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0321
sma = 102 / 39 	 stop = 0.0400 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0256
sma = 102 / 39 	 stop = 0.0450 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0207
sma = 102 / 39 	 stop = 0.0500 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0158
sma = 102 / 45 	 stop = 0.0250 	 count = 13 / 3 / 10 / 0.30 	 % = 1.0149
sma = 102 / 45 	 stop = 0.0300 	 count = 13 / 3 / 10 / 0.30 	 % = 1.0029
sma = 102 / 45 	 stop = 0.0350 	 count = 13 / 3 / 10 / 0.30 	 % = 1.0136
sma = 102 / 45 	 stop = 0.0400 	 count = 13 / 3 / 10 / 0.30 	 % = 1.0087
sma = 102 / 45 	 stop = 0.0450 	 count = 13 / 3 / 10 / 0.30 	 % = 1.0037
sma = 102 / 48 	 stop = 0.0350 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0001
sma = 102 / 51 	 stop = 0.0350 	 count = 13 / 6 / 7 / 0.86 	 % = 1.0054
sma = 108 / 30 	 stop = 0.0150 	 count = 17 / 5 / 12 / 0.42 	 % = 1.0120
sma = 108 / 30 	 stop = 0.0200 	 count = 17 / 6 / 11 / 0.55 	 % = 1.0106
sma = 108 / 30 	 stop = 0.0300 	 count = 17 / 6 / 11 / 0.55 	 % = 1.0046
sma = 108 / 33 	 stop = 0.0150 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0197
sma = 108 / 33 	 stop = 0.0200 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0523
sma = 108 / 33 	 stop = 0.0250 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0320
sma = 108 / 33 	 stop = 0.0300 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0425
sma = 108 / 33 	 stop = 0.0350 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0333
sma = 108 / 33 	 stop = 0.0400 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0234
