
2022-05-12  00.42.08    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.003000 / 0.003000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 148 / 55 / 93 / 0.5914 	 h = -0.0101 / 0.1029 	 p = 0.01 	 avg = 0.00 	 % = 1.0554 / +5.5393
0.003000 / 0.003000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 165 / 68 / 97 / 0.7010 	 h = -0.0101 / 0.1165 	 p = 0.07 	 avg = 0.00 	 % = 1.1477 / +14.7713
0.003000 / 0.003000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 171 / 69 / 102 / 0.6765 	 h = -0.0101 / 0.1265 	 p = 0.08 	 avg = 0.00 	 % = 1.1690 / +16.9041
0.003000 / 0.003000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 177 / 68 / 109 / 0.6239 	 h = -0.0101 / 0.1390 	 p = 0.00 	 avg = 0.00 	 % = 1.0308 / +3.0794
0.004000 / 0.004000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 191 / 76 / 115 / 0.6609 	 h = -0.0101 / 0.1190 	 p = 0.05 	 avg = 0.00 	 % = 1.1226 / +12.2563
0.004000 / 0.004000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 203 / 81 / 122 / 0.6639 	 h = -0.0101 / 0.1288 	 p = 0.07 	 avg = 0.00 	 % = 1.1527 / +15.2654
0.005000 / 0.005000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 215 / 82 / 133 / 0.6165 	 h = -0.0101 / 0.1216 	 p = 0.02 	 avg = 0.00 	 % = 1.0753 / +7.5304
0.005000 / 0.005000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 233 / 104 / 129 / 0.8062 	 h = -0.0101 / 0.1309 	 p = 0.10 	 avg = 0.00 	 % = 1.2123 / +21.2287
0.005000 / 0.005000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 238 / 96 / 142 / 0.6761 	 h = -0.0101 / 0.1317 	 p = 0.02 	 avg = 0.00 	 % = 1.0626 / +6.2623
0.005000 / 0.005000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 242 / 102 / 140 / 0.7286 	 h = -0.0101 / 0.1393 	 p = 0.08 	 avg = 0.00 	 % = 1.1666 / +16.6600
0.005000 / 0.005000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 244 / 103 / 141 / 0.7305 	 h = -0.0101 / 0.1427 	 p = 0.08 	 avg = 0.00 	 % = 1.1765 / +17.6528
0.005000 / 0.005000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 244 / 102 / 142 / 0.7183 	 h = -0.0101 / 0.1422 	 p = 0.06 	 avg = 0.00 	 % = 1.1271 / +12.7132
0.005000 / 0.005000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0770 	 p = 0.08 	 avg = 0.00 	 % = 1.1733 / +17.3296
0.005000 / 0.005000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0777 	 p = 0.09 	 avg = 0.00 	 % = 1.1765 / +17.6450
0.005000 / 0.005000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0778 	 p = 0.09 	 avg = 0.00 	 % = 1.1785 / +17.8516
0.005000 / 0.005000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0784 	 p = 0.09 	 avg = 0.00 	 % = 1.1798 / +17.9834
0.005000 / 0.005000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1819 / +18.1933
0.005000 / 0.005000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1826 / +18.2634
0.005000 / 0.005000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1833 / +18.3336
0.005000 / 0.005000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1833 / +18.3336
0.005000 / 0.005000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1833 / +18.3336
0.005000 / 0.005000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1833 / +18.3336
0.005000 / 0.005000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 246 / 104 / 142 / 0.7324 	 h = -0.0101 / 0.0790 	 p = 0.09 	 avg = 0.00 	 % = 1.1833 / +18.3336
0.006000 / 0.006000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 223 / 91 / 132 / 0.6894 	 h = -0.0101 / 0.1234 	 p = 0.08 	 avg = 0.00 	 % = 1.1907 / +19.0664
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 247 / 111 / 136 / 0.8162 	 h = -0.0101 / 0.1331 	 p = 0.11 	 avg = 0.00 	 % = 1.2344 / +23.4424
